what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141625964
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1380141626495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141626791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141632438
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380141633406
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141636182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141636260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141644763
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141644763
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1380141646588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141646759
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141650550
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380141651330
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141654232
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141658210
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141666821
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141668647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380141732218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380141734683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141735572
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141738692
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380141740986
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --sidp=0x80, --id=0x0, --timestamp=1380066049] return code: 4, 'other error'",1380141741891
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x80, --id=0x0, --timestamp=1380066049, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/NIOS2_test/NIOS2_test.elf] return code: 4, 'other error'",1380141744701
error,log,,,"Downloading ELF Process failed",1380141744701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141744701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141746245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141746776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380141752610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380141752922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380141753406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380141753796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1380141755387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141756401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141758320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141759459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141768850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141772189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141775761
error,log,,,"Unable to validate connection settings.",1380141778413
error,log,,,"Unable to validate connection settings.",1380141778413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141778413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141781268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380141789021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380141790566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141793093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141794700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141798168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141798695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141808433
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380141811568
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141814922
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380141815734
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141818635
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141822223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141838900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141848790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141883828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141922174
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1380141922813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141923172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141924888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1380141928289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1380141934202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141935325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141939630
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1380141940410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141940676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380141942563
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141945605
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380141946385
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380141949302
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380141955121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380141999894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380142003966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1380142007803
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380142013217
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380142016025
error,log,,,"Unable to validate connection settings.",1380142017803
error,log,,,"Unable to validate connection settings.",1380142017803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142017803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142019160
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380142020486
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380142022483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142023528
error,log,,,"Unable to validate connection settings.",1380142024698
error,log,,,"Unable to validate connection settings.",1380142024698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142024698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142027038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142039664
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1380142043705
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380142044516
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x80, --id=0x0, --timestamp=1380066049, /cygdrive/c/Users/pwhite8/vlsi/fpga/software/NIOS2_test/NIOS2_test.elf] return code: 4, 'other error'",1380142048746
error,log,,,"Downloading ELF Process failed",1380142048746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142048746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142049869
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380142053316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142055391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142056249
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1380142056374
error,log,,,"Unable to validate connection settings.",1380142063971
error,log,,,"Unable to validate connection settings.",1380142063971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142063971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142065048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142065968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142068901
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1380142069556
error,log,,,"Unable to validate connection settings.",1380142079322
error,log,,,"Unable to validate connection settings.",1380142079322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142079322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142080352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380142081116
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1380142085780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142085890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142094283
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1380142100554
error,log,,,"Unable to validate connection settings.",1380142103207
error,log,,,"Unable to validate connection settings.",1380142103207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142103207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1380142104361
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1380142108683
