what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386083367295
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386083367295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083370836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083450303
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386083451348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083455279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083456730
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1386083456870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083459319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083459319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386083460193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084370418
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386084370948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386084380090
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386084382102
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386084383335
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386084383569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1386084390183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386084390854
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386084395425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084399294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084400386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084403958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084466577
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386084467092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386084471179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386085392382
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386085399526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386085400899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386085407093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386085411071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386085412646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386085414783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386086093455
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386086093908
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386086095218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386086118462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386086155403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386086161300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386086167447
